,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
624,Marco Antonio Solís,2167,686,201,0,5,31.07.22
384,Bob Dylan,3352,498,1308,0,6,13.09.22
671,Bing Crosby,2043,8,1345,0,7,31.07.22
24,David Guetta,19104,1131,705,1,46,19.09.22
882,Mary J. Blige,1603,2072,395,0,2,31.07.22
714,Vampire Weekend,1945,,74,0,2,31.07.22
222,Bon Jovi,5101,1,329,1,9,17.09.22
588,GIMS,2311,294,179,0,4,31.07.22
719,Wham!,1930,,36,0,2,23.08.22
842,KSI,1695,27,116,0,4,01.09.22
252,Tove Lo,4629,1360,144,0,7,09.09.22
10,BTS,28533,323,262,1,98,19.09.22
839,Eslabon Armado,1699,13,90,0,2,31.07.22
485,Simon & Garfunkel,2718,498,172,0,5,19.09.22
181,Christian Nodal,5835,409,69,0,18,20.08.22
1003,The Temptations,1425,64,732,0,3,05.08.22
49,Lil Uzi Vert,12985,8235,140,1,33,19.09.22
147,The Rolling Stones,6727,6,1073,0,14,17.09.22
574,Clairo,2340,751,25,0,7,31.07.22
388,Boyce Avenue,3287,6192,450,0,3,20.09.22
691,Mötley Crüe,1986,,238,0,5,19.09.22
738,James TW,1892,8,44,0,5,31.07.22
784,AJ Tracey,1802,215,98,0,6,21.08.22
209,System Of A Down,5306,,83,0,10,18.08.22
959,Jeezy,1485,1437,552,0,2,31.07.22
405,Outkast,3196,119,222,0,6,31.07.22
601,Ozzy Osbourne,2258,66,231,0,3,19.09.22
872,Tom Walker,1621,104,95,0,4,28.08.22
504,Breaking Benjamin,2619,43,102,0,6,31.07.22
727,OMI,1908,131,45,1,2,31.07.22
610,Zoé,2227,12,193,0,6,31.07.22
398,Cage The Elephant,3219,301,109,0,6,14.08.22
724,Granular,1919,,574,0,2,31.07.22
566,Rod Stewart,2379,502,731,0,4,09.08.22
679,The Kooks,2024,,249,0,5,11.09.22
947,Official HIGE DANdism,1506,,144,0,4,31.07.22
1,Drake,50162,19246,262,6,130,19.09.22
53,Katy Perry,12631,1217,180,0,30,19.09.22
600,Aretha Franklin,2259,8,900,0,4,31.07.22
598,Pedro Capó,2277,181,71,1,5,31.07.22
333,George Ezra,3745,3853,76,0,7,07.09.22
298,Jennifer Lopez,4186,1097,240,0,13,18.09.22
201,Meghan Trainor,5418,1025,141,0,11,18.09.22
683,M83,2015,16,237,0,3,31.07.22
428,Chris Stapleton,3024,1117,60,0,9,01.08.22
794,Lalo Ebratt,1773,84,60,0,7,31.07.22
433,Feid,3009,436,146,0,5,16.09.22
533,Sfera Ebbasta,2496,1276,89,0,1,27.08.22
401,Dean Lewis,3212,63,48,1,6,31.07.22
642,Electric Light Orchestra,2112,,305,0,4,31.07.22
562,Plan B,2383,578,95,0,7,31.07.22
